J_Id,charge
1,Anti-State
5,No Charge
7,Anti-State
8,Anti-State
10,Anti-State
12,No Charge
13,Defamation
15,Defamation
15,Ethnic or Religious Insult
16,Anti-State
16,False News
16,Retaliatory
20,Anti-State
20,False News
20,Retaliatory
21,Retaliatory
23,Anti-State
23,False News
24,Retaliatory
27,Anti-State
28,Anti-State
30,Anti-State
32,Anti-State
32,Retaliatory
33,Anti-State
34,Anti-State
38,No Charge
40,No charge disclosed
43,False News
43,Retaliatory
50,Anti-State
53,Defamation
54,No Charge
56,Ethnic or Religious Insult
76,Anti-State
77,Anti-State
78,Anti-State
82,Anti-State
83,Anti-State
86,Ethnic or Religious Insult
88,Retaliatory
89,Anti-State
89,Retaliatory
91,Anti-State
91,Defamation
91,Retaliatory
92,No charge disclosed
93,Anti-State
96,No Charge
97,Anti-State
98,Anti-State
103,Retaliatory
104,No charge disclosed
106,Retaliatory
107,Anti-State
108,Anti-State
109,Anti-State
109,Retaliatory
110,No Charge
112,Anti-State
113,Defamation
113,False News
114,Anti-State
114,False News
115,Anti-State
115,False News
116,No charge disclosed
117,No charge disclosed
118,Anti-State
119,Defamation
120,Anti-State
120,False News
121,False News
122,Defamation
124,Anti-State
124,False News
130,Anti-State
132,Censorship Violation
133,No charge disclosed
134,Ethnic or Religious Insult
136,Anti-State
136,False News
138,No Charge
140,Anti-State
141,No Charge
143,No Charge
145,No Charge
148,Defamation
149,Anti-State
150,Retaliatory
151,Anti-State
159,Anti-State
160,Retaliatory
161,Retaliatory
162,Anti-State
163,Anti-State
163,Defamation
163,False News
164,Anti-State
165,Anti-State
165,Ethnic or Religious Insult
165,Defamation
167,Anti-State
168,Ethnic or Religious Insult
176,Anti-State
177,Retaliatory
177,Anti-State
178,No Charge
178,Anti-State
179,Anti-State
179,No Charge
181,Anti-State
183,Anti-State
193,Defamation
194,Anti-State
195,Anti-State
195,Defamation
195,Retaliatory
197,No Charge
198,Retaliatory
199,No Charge
204,Anti-State
207,No Charge
212,Anti-State
212,False News
214,No Charge
220,Anti-State
222,Anti-State
222,False News
223,No Charge
227,Anti-State
227,False News
229,No charge disclosed
230,Anti-State
232,Anti-State
234,Anti-State
235,Anti-State
236,Anti-State
238,Anti-State
238,False News
239,Anti-State
241,Anti-State
242,Retaliatory
243,Anti-State
246,No Charge
247,Anti-State
248,Anti-State
250,Anti-State
253,No Charge
255,Anti-State
256,Anti-State
257,No Charge
259,Anti-State
259,False News
260,Anti-State
264,Anti-State
264,False News
272,No Charge
273,Anti-State
274,Anti-State
275,Anti-State
275,Retaliatory
285,Anti-State
290,Anti-State
294,Anti-State
295,Retaliatory
299,Defamation
300,Defamation
304,Defamation
306,Retaliatory
308,Anti-State
308,False News
312,Anti-State
313,Anti-State
318,Anti-State
320,Ethnic or Religious Insult
321,Anti-State
322,No Charge
325,Anti-State
325,False News
326,No Charge
327,False News
328,Defamation
333,Anti-State
335,Anti-State
336,Anti-State
336,Defamation
337,No Charge
339,Anti-State
340,Anti-State
341,Anti-State
343,Ethnic or Religious Insult
345,No Charge
354,Anti-State
356,Anti-State
358,No Charge
359,Anti-State
360,No charge disclosed
361,Anti-State
362,No Charge
363,Anti-State
364,Anti-State
365,Anti-State
376,Retaliatory
380,Retaliatory
381,Anti-State
382,Defamation
383,No charge disclosed
385,No Charge
387,No Charge
389,No Charge
391,No Charge
392,Anti-State
396,Anti-State
397,Retaliatory
402,Defamation
403,Anti-State
406,No Charge
408,Retaliatory
409,Defamation
409,Retaliatory
416,Retaliatory
418,Defamation
420,Anti-State
430,Defamation
433,Defamation
434,No Charge
442,Anti-State
446,Anti-State
447,Anti-State
447,Defamation
448,No Charge
449,Anti-State
449,Ethnic or Religious Insult
449,Retaliatory
455,Ethnic or Religious Insult
456,Anti-State
456,Defamation
459,Retaliatory
460,No Charge
466,Ethnic or Religious Insult
473,Anti-State
474,Retaliatory
477,Anti-State
477,False News
481,Retaliatory
482,Anti-State
483,Anti-State
484,Anti-State
485,False News
485,Retaliatory
489,Anti-State
491,Anti-State
493,Anti-State
494,Anti-State
495,Retaliatory
496,Anti-State
498,No Charge
500,Anti-State
501,Censorship Violation
503,Retaliatory
504,Anti-State
505,Anti-State
506,Anti-State
510,Retaliatory
514,Anti-State
516,Anti-State
517,No Charge
518,Retaliatory
520,Anti-State
521,Anti-State
522,Anti-State
524,Anti-State
526,Ethnic or Religious Insult
527,Anti-State
528,Anti-State
529,Anti-State
532,Retaliatory
534,No Charge
535,Retaliatory
539,Retaliatory
540,No Charge
541,No charge disclosed
542,Anti-State
544,Anti-State
546,Anti-State
547,Anti-State
548,Anti-State
549,No Charge
550,No Charge
551,Anti-State
552,No Charge
557,Retaliatory
561,Anti-State
563,Anti-State
570,No Charge
571,Anti-State
576,Anti-State
577,Anti-State
578,Anti-State
579,Anti-State
579,No Charge
582,Anti-State
583,Anti-State
583,Defamation
584,Anti-State
588,No Charge
589,Anti-State
594,Anti-State
596,No Charge
597,Anti-State
598,Retaliatory
599,Anti-State
603,Retaliatory
604,No Charge
605,No Charge
607,Anti-State
608,Anti-State
609,No Charge
610,No Charge
614,Retaliatory
615,Anti-State
615,False News
618,Anti-State
619,Retaliatory
623,Anti-State
625,Anti-State
629,Retaliatory
635,Anti-State
637,Anti-State
638,Anti-State
639,Anti-State
640,Anti-State
641,Anti-State
645,Anti-State
646,Anti-State
647,Anti-State
648,Anti-State
649,Anti-State
650,Defamation
654,Anti-State
670,Anti-State
674,Anti-State
675,Anti-State
678,Anti-State
681,Anti-State
685,Retaliatory
687,No Charge
692,Retaliatory
694,Retaliatory
695,Anti-State
696,Retaliatory
697,Anti-State
698,Anti-State
699,Anti-State
700,Anti-State
701,Anti-State
702,Anti-State
703,No Charge
704,Anti-State
705,Anti-State
707,No Charge
709,Anti-State
712,No Charge
713,Anti-State
714,Anti-State
721,Anti-State
722,Anti-State
728,Anti-State
730,Anti-State
733,Anti-State
734,No Charge
737,No Charge
738,Anti-State
738,False News
739,Anti-State
742,Retaliatory
743,No Charge
744,Anti-State
745,Defamation
749,Anti-State
749,False News
751,Anti-State
753,Anti-State
753,False News
754,No Charge
755,No Charge
760,Anti-State
763,Anti-State
767,Anti-State
769,Anti-State
774,Defamation
775,Anti-State
775,Defamation
775,False News
777,No Charge
778,Anti-State
779,Anti-State
780,No Charge
781,Anti-State
782,No charge disclosed
783,No charge disclosed
784,Anti-State
785,No Charge
