J_Id,job
1,Print Reporter
2,Producer
3,Print Reporter
4,Editor
5,Editor
6,Camera Operator
7,Internet Reporter
8,Print Reporter
9,Editor
10,Print Reporter
11,Internet Reporter
12,Internet Reporter
12,Print Reporter
13,Editor
14,Camera Operator
15,Columnist/Commentator
16,Editor
17,Camera Operator
18,Editor
20,Internet Reporter
21,Internet Reporter
22,Photographer
23,Camera Operator
23,Photographer
23,Producer
24,Columnist/Commentator
25,Print Reporter
26,Editor
27,Internet Reporter
27,Publisher/Owner
28,Print Reporter
29,Broadcast Reporter
30,Broadcast Reporter
30,Columnist/Commentator
30,Internet Reporter
31,Camera Operator
31,Photographer
32,Photographer
33,Editor
34,Publisher/Owner
35,Print Reporter
36,Broadcast Reporter
37,Producer
38,Publisher/Owner
39,Broadcast Reporter
39,Camera Operator
40,Editor
42,Editor
43,Print Reporter
43,Publisher/Owner
44,Producer
46,Broadcast Reporter
47,Camera Operator
48,Broadcast Reporter
49,Editor
50,Columnist/Commentator
53,Editor
53,Publisher/Owner
54,Camera Operator
55,Print Reporter
56,Internet Reporter
57,Print Reporter
58,Photographer
58,Camera Operator
59,Broadcast Reporter
60,Broadcast Reporter
61,Broadcast Reporter
62,Camera Operator
63,Broadcast Reporter
63,Photographer
63,Publisher/Owner
65,Photographer
65,Internet Reporter
67,Broadcast Reporter
68,Broadcast Reporter
69,Broadcast Reporter
69,Print Reporter
70,Photographer
71,Broadcast Reporter
71,Camera Operator
74,Producer
75,Editor
76,Internet Reporter
76,Print Reporter
78,Internet Reporter
79,Broadcast Reporter
80,Broadcast Reporter
81,Photographer
82,Internet Reporter
83,Columnist/Commentator
84,Producer
84,Columnist/Commentator
85,Photographer
85,Internet Reporter
86,Publisher/Owner
87,Broadcast Reporter
88,Editor
89,Broadcast Reporter
89,Camera Operator
89,Photographer
91,Columnist/Commentator
92,Columnist/Commentator
93,Editor
93,Internet Reporter
94,Camera Operator
95,Camera Operator
95,Photographer
96,Internet Reporter
97,Print Reporter
98,Print Reporter
99,Broadcast Reporter
101,Broadcast Reporter
102,Editor
103,Editor
104,Columnist/Commentator
105,Broadcast Reporter
105,Editor
106,Publisher/Owner
107,Internet Reporter
108,Publisher/Owner
109,Publisher/Owner
110,Print Reporter
112,Internet Reporter
113,Editor
114,Print Reporter
115,Print Reporter
116,Editor
116,Publisher/Owner
117,Editor
117,Publisher/Owner
118,Print Reporter
119,Publisher/Owner
120,Photographer
120,Publisher/Owner
121,Editor
122,Editor
123,Editor
124,Editor
125,Editor
126,Camera Operator
127,Broadcast Reporter
129,Camera Operator
130,Broadcast Reporter
132,Broadcast Reporter
132,Internet Reporter
132,Print Reporter
133,Columnist/Commentator
134,Columnist/Commentator
