Id,year,fullName,primaryNationality,gender,photoUrl,typeOfDeath,status,employedAs,organizations,localOrForeign,motiveConfirmed,impunityMurder,tortured,captive,threatened,sentence,country,region,location,locationImprisoned
1,2018,Aasif Sultan,India,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Asif.jpeg_bbcb9b43-7e05-4469-a765-25feaa1ceeea.jpeg,,Imprisoned,Staff,Kashmir Narrator,Local,,,,,,Not Sentenced,India,Jammu and Kashmir,Srinagar,
1,2018,Aasif Sultan,India,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Asif.jpeg_bbcb9b43-7e05-4469-a765-25feaa1ceeea.jpeg,,Imprisoned,Staff,Kashmir Narrator,Local,,,,,,Not Sentenced,India,Jammu and Kashmir,Srinagar,
1,2019,Aasif Sultan,India,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Asif.jpeg_bbcb9b43-7e05-4469-a765-25feaa1ceeea.jpeg,,Imprisoned,Staff,Kashmir Narrator,Local,,,,,,Not Sentenced,India,Jammu and Kashmir,Srinagar,
1,2019,Aasif Sultan,India,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Asif.jpeg_bbcb9b43-7e05-4469-a765-25feaa1ceeea.jpeg,,Imprisoned,Staff,Kashmir Narrator,Local,,,,,,Not Sentenced,India,Jammu and Kashmir,Srinagar,
2,2018,Abadullah Hananzai,Afghanistan,Male,,Murder,Killed,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty",Local,Confirmed,Complete Impunity,No,No,No,,Afghanistan,,Kabul,
3,1997,Abay Hailu,Ethiopia,Male,,,Imprisoned,Staff,"Agiere, Welafen",Local,,,,,,1 Year,Ethiopia,,,
3,1997,Abay Hailu,Ethiopia,Male,,,Imprisoned,Staff,"Agiere, Welafen",Local,,,,,,1 Year,Ethiopia,,Addis Ababa,
3,1998,Abay Hailu,Ethiopia,Male,,Dangerous Assignment,Killed,Staff,Agiere,Local,Confirmed,,,,,,Ethiopia,,,
3,1998,Abay Hailu,Ethiopia,Male,,Dangerous Assignment,Killed,Staff,Agiere,Local,Confirmed,,,,,,Ethiopia,,Addis Ababa,
4,1993,Abbas Abdi,Iran,Male,,,Imprisoned,,Salam,Local,,,,,,1 Year,Iran,,,
5,2011,Abd al-Karim Thail,Yemen,Male,,,Imprisoned,Staff,42769,Local,,,,,,Not Sentenced,Yemen,,,
6,2012,Abd al-Karim al-Ezzo,Syria,Male,,Crossfire,Killed,Freelance,Freelance,Local,Confirmed,,,,,,Syria,,Homs,
7,2012,Abd al-Rahman Hamada,Syria,Male,,,Imprisoned,Staff,Syrian Center for Media and Freedom of Expression,Local,,,,,,Not Sentenced,Syria,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1992,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
8,1993,Abd al-Rahman Muhammad Asad al-Husseini,Kuwait,Male,,,Imprisoned,,Al-Nida,Local,,,,,,Life,Kuwait,,,
