J_Id,medium
1,Print
2,Radio
2,Internet
3,Print
4,Print
5,Internet
6,Internet
8,Print
9,Print
10,Print
11,Internet
12,Internet
12,Print
13,Internet
13,Print
14,Internet
15,Internet
16,Print
17,Internet
18,Print
20,Internet
21,Internet
22,Print
23,Documentary Film
23,Internet
23,Print
25,Print
26,Print
27,Internet
28,Print
29,Television
30,Internet
30,Television
31,Print
31,Television
32,Internet
33,Print
33,Internet
34,Radio
35,Print
36,Radio
37,Radio
37,Television
39,Radio
39,Internet
40,Internet
40,Television
42,Radio
43,Print
44,Radio
46,Radio
46,Television
48,Radio
48,Television
49,Radio
50,Print
53,Print
54,Television
55,Print
56,Internet
57,Print
58,Internet
59,Television
60,Television
61,Television
62,Television
63,Radio
63,Internet
65,Internet
67,Television
68,Television
69,Print
69,Radio
70,Print
71,Television
74,Television
75,Print
76,Internet
76,Print
77,Internet
78,Internet
79,Radio
79,Television
80,Radio
81,Print
82,Internet
83,Internet
83,Print
84,Radio
85,Internet
87,Television
88,Print
89,Internet
89,Television
91,Print
92,Internet
93,Internet
94,Television
95,Television
96,Television
97,Internet
98,Print
99,Radio
101,Radio
101,Television
102,Print
103,Internet
104,Internet
104,Print
105,Radio
106,Radio
107,Internet
108,Print
109,Television
110,Print
112,Internet
113,Print
116,Print
117,Print
118,Print
119,Print
120,Internet
121,Print
122,Print
123,Radio
124,Print
125,Radio
126,Television
127,Radio
129,Television
130,Radio
132,Internet
132,Print
132,Radio
132,Television
133,Internet
134,Print
135,Television
136,Internet
137,Television
138,Internet
139,Print
140,Television
143,Internet
144,Television
145,Print
146,Print
147,Television
148,Print
149,Print
150,Internet
151,Print
152,Television
153,Television
154,Television
155,Radio
157,Print
158,Print
159,Internet
159,Print
160,Internet
161,Internet
162,Internet
163,Internet
163,Print
164,Internet
165,Print
166,Print
167,Print
168,Print
169,Internet
170,Print
171,Television
172,Print
173,Print
173,Television
174,Television
176,Print
178,Print
178,Internet
179,Broadcast
179,Television
181,Internet
182,Radio
183,Radio
184,Print
184,Television
185,Internet
185,Television
186,Internet
187,Internet
188,Print
189,Radio
190,Internet
191,Print
191,Internet
192,Internet
193,Print
194,Radio
195,Internet
196,Television
197,Documentary Film
197,Internet
197,Television
198,Internet
199,Internet
